ID,Xshape,Yshape,File_Extension
1154,300,483,jpg
1155,300,440,jpg
1156,300,200,jpg
1157,300,293,jpg
1158,300,400,jpg
1159,300,300,jpg
1160,300,216,jpg
1161,300,242,jpg
1162,300,377,jpg
1163,300,533,jpg
1164,300,451,jpg
1165,300,517,jpg
1166,300,451,jpg
1167,300,450,jpg
1168,300,449,jpg
1169,300,428,jpg
1170,300,262,jpg
1171,300,451,jpg
1172,300,199,jpg
1173,300,225,jpg
1174,300,451,jpg
1175,300,451,jpg
1176,300,431,jpg
1177,300,533,jpg
1178,300,450,jpg
1179,300,451,jpg
1180,300,450,jpg
1181,300,296,jpg
1182,300,475,jpg
1183,300,451,jpg
1184,300,426,jpg
1185,300,199,jpg
1186,300,408,jpg
1187,300,531,jpg
1188,300,214,jpg
1189,300,534,jpg
1190,300,231,jpg
1191,300,400,jpg
1192,300,199,jpg
1193,300,200,jpg
1194,300,451,jpg
1195,300,209,jpg
1196,300,450,jpg
1197,300,210,jpg
1198,300,469,jpg
1199,300,451,jpg
1200,300,450,jpg
1201,300,450,jpg
1202,300,199,jpg
1203,300,450,jpg
1204,300,442,jpg
1205,300,300,jpg
1206,300,534,jpg
1207,300,451,jpg
1208,300,450,jpg
1209,300,400,jpg
1210,300,451,jpg
1211,300,451,jpg
1212,300,245,jpg
1213,300,503,jpg
1214,300,451,jpg
1215,300,199,jpg
1216,300,235,jpg
1217,300,450,jpg
1218,300,226,jpg
1219,300,452,jpg
1220,300,199,jpg
1221,300,400,jpg
1222,300,450,jpg
1223,300,224,jpg
1224,300,199,jpg
1225,300,449,jpg
1226,300,200,jpg
1227,300,199,jpg
1228,300,450,jpg
1229,300,450,jpg
1230,300,202,jpg
1231,300,200,jpg
1232,300,400,jpg
1233,300,207,jpg
1234,300,400,jpg
1235,300,453,jpg
1236,300,199,jpg
1237,300,534,jpg
1238,300,534,jpg
1239,300,200,jpg
1240,300,195,jpg
1241,300,168,jpg
1242,300,448,jpg
1243,300,444,jpg
1244,300,200,jpg
1245,300,450,jpg
1246,300,448,jpg
1247,300,450,jpg
1248,300,450,jpg
1249,300,450,jpg
1250,300,199,jpg
1251,300,200,jpg
1252,300,450,jpg
1253,300,235,jpg
1254,300,450,jpg
1255,300,405,jpg
1256,300,563,jpg
1257,300,471,jpg
1258,300,450,jpg
1259,300,389,jpg
1260,300,449,jpg
1261,300,450,jpg
1262,300,168,jpg
1263,300,400,jpg
1264,300,450,jpg
1265,300,436,jpg
1266,300,421,jpg
1267,300,450,jpg
1268,300,450,jpg
1269,300,332,jpg
1270,300,199,jpg
1271,300,200,jpg
1272,300,534,jpg
1273,300,450,jpg
1274,300,450,jpg
1275,300,207,jpg
1276,300,192,jpg
1277,300,450,jpg
1278,300,190,jpg
1279,300,450,jpg
1280,300,251,jpg
1281,300,228,jpg
1282,300,200,jpg
1283,300,450,jpg
1284,300,450,jpg
1285,300,375,jpg
1286,300,208,jpg
1287,300,621,jpg
1288,300,491,jpg
1289,300,449,jpg
1290,300,445,jpg
1291,300,450,jpg
1292,300,196,jpg
1293,300,447,jpg
1294,300,453,jpg
